Name,Atoll,Site,Transect,Treatment,Row,Column,Label.code,Label_Count
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,212,278,GREEN,197
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,123,58,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,183,276,GREEN,197
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,132,663,_RDUP,645
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,406,574,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,196,437,_RDUP,645
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,28,526,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,145,630,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,377,790,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,49,1078,_RDUP,645
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,195,1981,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,579,402,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,523,355,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,635,491,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,449,424,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,499,615,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,443,412,_LOBO,2087
