Data,Definition
_CCA,Crustose Coralline Algae
_CCAG,"White, Yellow, or Greenish CCA"
_LOBO,Lobophora; Brown Encrusting
GREEN,Unidentified Green Algae; bright green encrusting algae
_RDUP,Red Upright Macro Algae;
TURF,"can be reddish or green, usually has sand stuck to it"
BareP,"Bare Tile; brown, matte, not Lobophora"
_SED,"sediment; pure sand, not stuck to turf"
_RDEN,Red Encrusting Macro Algae; reddish orange algae
BGMA,Cyanobacteria; noticeably fluffy and fuzzy
_GREN,Green Encrusting Macro Algae
_CO,Coral
blSP,Black Sponge
_TUNC,Coloninal Tunicate
_CAUL,Caulerpa
,
Treatments,
A,Uncaged
B,Caged
C,Partial
,
Locations,
Atoll,Atoll Site was situated on
Site,Name of Site on that Atoll
